"","ID.deid","T1_Age","T1_Gender","T1_Ethnicity","T1c_BFI_open","T1c_BFI_conscientious","T1c_BFI_extraversion","T1c_BFI_agreeable","T1c_BFI_neurotic","T1_SWL_1","T1_SWL_2","T1_SWL_3","T1_SWL_4","T1_SWL_5","T1_SWL_Mean","T2_SWL_1","T2_SWL_2","T2_SWL_3","T2_SWL_4","T2_SWL_5","T2_SWL_Mean","T3_SWL_1","T3_SWL_2","T3_SWL_3","T3_SWL_4","T3_SWL_5","T3_SWL_Mean","T4_SWL_1","T4_SWL_2","T4_SWL_3","T4_SWL_4","T4_SWL_5","T4_SWL_Mean","T5_SWL_1","T5_SWL_2","T5_SWL_3","T5_SWL_4","T5_SWL_5","T5_SWL_Mean","T6_SWL_1","T6_SWL_2","T6_SWL_3","T6_SWL_4","T6_SWL_5","T6_SWL_Mean","T7_SWL_1","T7_SWL_2","T7_SWL_3","T7_SWL_4","T7_SWL_5","T7_SWL_Mean","T8_SWL_1","T8_SWL_2","T8_SWL_3","T8_SWL_4","T8_SWL_5","T8_SWL_Mean","T9_SWL_1","T9_SWL_2","T9_SWL_3","T9_SWL_4","T9_SWL_5","T9_SWL_Mean","T10_SWL_1","T10_SWL_2","T10_SWL_3","T10_SWL_4","T10_SWL_5","T10_SWL_Mean","T11_SWL_1","T11_SWL_2","T11_SWL_3","T11_SWL_4","T11_SWL_5","T11_SWL_Mean","T11_LifeSatisf_Change_1","T11_LifeSatisf_Change_2","T11_LifeSatisf_Change_3","T11_LifeSatisf_Change_4","T11_LifeSatisf_Change_5"
"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,5,6,5.4,4,4,2,2,7
"2",2,26,1,1,2,1.66666666666667,1.33333333333333,2.66666666666667,0,1,1,1,1,1,1,0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1.6,0,0,0,0,0,0,1,2,0,0,0,0.6,2,4,2,4,3,3,1,3,2,1,1,1.6,2,2,1,0,0,1,1,1,1,1,1,1,3,1,4,4,4
"3",3,23,1,5,NA,NA,NA,NA,NA,5,5,6,5,6,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,5,3,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,40,1,5,4,4,3.33333333333333,2.66666666666667,0.666666666666667,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,4,6,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,1,3.8,3,3,3,4,4
"5",5,39,2,1,2,3.33333333333333,1.33333333333333,2.33333333333333,1,0,0,0,0,0,0,0,0,1,1,0,0.4,0,0,1,0,0,0.2,0,0,0,0,0,0,0,0,0,1,0,0.2,1,1,1,1,1,1,1,1,1,1,0,0.8,3,6,6,5,0,4,1,0,1,0,1,0.6,0,0,0,1,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,28,2,2,3,3.33333333333333,0.666666666666667,3.33333333333333,3,5,5,4,5,4,4.6,4,5,5,6,5,5,5,6,6,6,5,5.6,6,6,5,5,5,5.4,5,6,6,6,5,5.6,5,6,5,5,6,5.4,5,5,5,5,5,5,3,3,4,4,3,3.4,4,5,4,5,5,4.6,5,6,5,6,5,5.4,4,5,5,5,4,4.6,3,3,2,5,6
"7",7,30,2,1,3.66666666666667,3.33333333333333,2,3.33333333333333,2.33333333333333,1,1,2,0,0,0.8,0,1,1,2,0,0.8,1,2,2,2,0,1.4,NA,NA,NA,NA,NA,NA,1,2,2,1,0,1.2,1,2,3,1,0,1.4,0,1,1,1,0,0.6,3,3,3,3,1,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,35,2,4,3.66666666666667,2,0.333333333333333,3,1.66666666666667,0,0,0,0,6,1.2,1,2,1,1,0,1,0,0,0,1,0,0.2,0,0,0,1,0,0.2,0,0,0,1,0,0.2,NA,NA,NA,NA,NA,NA,1,1,1,2,0,1,6,6,6,6,6,6,2,2,2,2,0,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,32,2,2,2.66666666666667,1.66666666666667,1,1,3.33333333333333,3,5,5,5,6,4.8,NA,NA,NA,NA,NA,NA,1,1,3,3,6,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,1,2.2,4,4,4,4,6,4.4,3,5,5,5,5,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,22,2,1,3.66666666666667,1.33333333333333,0.333333333333333,0.666666666666667,3.66666666666667,0,0,0,0,0,0,1,1,2,0,1,1,0,1,0,0,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,2,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,52,2,5,2.66666666666667,3,1,2.33333333333333,2.66666666666667,4,3,5,5,2,3.8,3,2,5,5,4,3.8,4,3,5,5,4,4.2,4,3,5,5,4,4.2,3,3,4,5,3,3.6,3,2,5,5,3,3.6,3,3,4,4,4,3.6,0,1,0,0,0,0.2,3,3,4,4,3,3.4,2,2,4,5,3,3.2,2,2,4,5,3,3.2,2,3,3,6,5
"12",12,42,2,2,0,3.33333333333333,1,1.33333333333333,0.666666666666667,5,5,5,5,1,4.2,2,2,3,3,0,2,5,5,5,5,3,4.6,5,5,5,5,1,4.2,5,5,5,5,1,4.2,4,5,5,5,1,4,5,5,5,5,1,4.2,0,0,0,0,0,0,5,5,5,5,2,4.4,5,5,5,5,1,4.2,3,3,4,3,2,3,4,3,2,5,4
"13",13,36,2,1,4,3.66666666666667,1.66666666666667,2.33333333333333,1.33333333333333,4,2,4,4,0,2.8,3,1,3,3,1,2.2,3,3,4,3,1,2.8,3,3,3,4,0,2.6,4,2,4,4,1,3,4,3,4,4,2,3.4,4,3,4,4,1,3.2,5,5,5,3,2,4,4,4,4,4,1,3.4,4,4,4,4,1,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,41,2,1,1.66666666666667,2.33333333333333,2,2.66666666666667,2.66666666666667,3,2,3,3,1,2.4,3,1,3,3,1,2.2,3,1,3,3,0,2,2,0,3,5,0,2,2,1,3,4,0,2,3,1,3,5,1,2.6,3,3,3,5,1,3,3,3,4,4,2,3.2,3,1,4,5,1,2.8,3,2,4,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,45,2,1,3.66666666666667,2.66666666666667,1.66666666666667,3,1.66666666666667,5,4,4,6,6,5,NA,NA,NA,NA,NA,NA,4,3,4,6,5,4.4,4,4,4,5,5,4.4,4,4,4,5,4,4.2,4,4,3,6,5,4.4,4,4,4,6,4,4.4,3,4,4,4,3,3.6,3,3,3,4,2,3,NA,NA,NA,NA,NA,NA,3,3,3,5,5,3.8,4,5,1,1,7
"16",16,41,1,2,1.66666666666667,1.66666666666667,1,3,2.66666666666667,0,0,1,3,0,0.8,1,0,1,3,3,1.6,2,2,2,3,1,2,1,1,1,1,0,0.8,1,1,1,2,0,1,NA,NA,NA,NA,NA,NA,1,1,1,3,3,1.8,0,0,1,1,0,0.4,NA,NA,NA,NA,NA,NA,2,2,2,3,1,2,2,1,1,4,0,1.6,2,4,2,4,6
"17",17,28,2,6,2.33333333333333,2.66666666666667,1.66666666666667,2.66666666666667,3.33333333333333,3,3,3,2,0,2.2,2,2,2,3,0,1.8,3,3,3,3,0,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,21,2,1,4,1.66666666666667,1,2.33333333333333,3,0,2,2,2,1,1.4,1,1,1,1,1,1,1,1,3,1,2,1.6,1,1,0,0,2,0.8,2,2,2,1,0,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,4,4.8,NA,NA,NA,NA,NA,NA,0,2,1,1,0,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,60,1,1,4,4,4,2.66666666666667,0,4,4,3,4,0,3,3,4,3,2,0,2.4,2,4,2,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,0,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,40,2,1,NA,NA,NA,NA,NA,2,2,2,3,3,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,5,1,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,34,2,2,NA,NA,NA,NA,NA,2,3,3,1,2,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,4,2,2,2.4,1,1,3,1,0,1.2,4,4,5,5,3,4.2,1,2,2,1,1,1.4,1,1,2,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,27,1,2,3.33333333333333,3.33333333333333,1.33333333333333,3,1,4,4,4,3,2,3.4,4,4,4,4,2,3.6,4,4,4,4,2,3.6,4,4,4,4,2,3.6,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4.8,6,6,6,6,6,6,4,4,4,4,4,4,5,5,5,5,4,4.8,4,5,5,5,5,4.8,2,2,1,4,5
"23",23,38,2,2,2.66666666666667,2.33333333333333,2.66666666666667,2,2,3,3,3,3,2,2.8,3,3,3,3,2,2.8,3,3,3,3,2,2.8,3,4,3,3,2,3,4,4,4,4,2,3.6,3,3,3,4,2,3,2,4,3,4,1,2.8,2,2,4,2,1,2.2,3,3,3,3,2,2.8,3,3,2,3,2,2.6,2,3,3,4,2,2.8,1,3,3,4,6
"24",24,29,2,1,3.66666666666667,1.33333333333333,0.333333333333333,4,2.33333333333333,1,0,2,2,2,1.4,0,0,2,2,0,0.8,NA,NA,NA,NA,NA,NA,0,0,3,2,0,1,NA,NA,NA,NA,NA,NA,0,2,0,3,0,1,NA,NA,NA,NA,NA,NA,2,0,2,1,1,1.2,0,0,0,4,0,0.8,NA,NA,NA,NA,NA,NA,0,0,0,3,1,0.8,3,3,4,6,5
"25",25,30,2,5,3,1.66666666666667,1.66666666666667,4,2,0,3,2,0,0,1,0,1,1,3,1,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,2,2,1,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
