id.deid,T1_Age,T1_Gender,T1_Ethnicity,T6_BFI_agreeable,T6_BFI_conscientious,T6_BFI_open,T6_BFI_extraversion,T6_BFI_neurotic,T1_SWL_1,T1_SWL_2,T1_SWL_3,T1_SWL_4,T1_SWL_5,T1_SWL_Mean,T2_SWL_1,T2_SWL_2,T2_SWL_3,T2_SWL_4,T2_SWL_5,T2_SWL_Mean,T3_SWL_1,T3_SWL_2,T3_SWL_3,T3_SWL_4,T3_SWL_5,T3_SWL_Mean,T4_SWL_1,T4_SWL_2,T4_SWL_3,T4_SWL_4,T4_SWL_5,T4_SWL_Mean,T5_SWL_1,T5_SWL_2,T5_SWL_3,T5_SWL_4,T5_SWL_5,T5_SWL_Mean,T6_SWL_1,T6_SWL_2,T6_SWL_3,T6_SWL_4,T6_SWL_5,T6_SWL_Mean,T7_SWL_1,T7_SWL_2,T7_SWL_3,T7_SWL_4,T7_SWL_5,T7_SWL_Mean,T8_SWL_1,T8_SWL_2,T8_SWL_3,T8_SWL_4,T8_SWL_5,T8_SWL_Mean,T9_SWL_1,T9_SWL_2,T9_SWL_3,T9_SWL_4,T9_SWL_5,T9_SWL_Mean,T10_SWL_1,T10_SWL_2,T10_SWL_3,T10_SWL_4,T10_SWL_5,T10_SWL_Mean,T11_SWL_1,T11_SWL_2,T11_SWL_3,T11_SWL_4,T11_SWL_5,T11_SWL_Mean,T11_LifeSatisf_Change_1,T11_LifeSatisf_Change_2,T11_LifeSatisf_Change_3,T11_LifeSatisf_Change_4,T11_LifeSatisf_Change_5
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,6,4,4.6,5,5,6,6,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,41,1,2,NA,NA,NA,NA,NA,5,5,6,5,2,4.6,6,5,6,6,4,5.4,5,4,6,6,4,5,4,4,5,6,4,4.6,5,5,5,6,4,5,NA,NA,NA,NA,NA,NA,5,5,5,6,4,5,4,4,5,6,4,4.6,5,5,5,6,4,5,5,5,5,6,4,5,5,5,5,6,4,5,4,4,2,4,3
3,52,2,2,4,3.333333333,4,0.333333333,2.666666667,5,5,4,4,3,4.2,5,5,5,5,4,4.8,5,5,5,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,4,1,4,6,6,6,6,5,5.8,5,5,5,5,5,5,5,5,5,5,4,4.8,5,3,3,4,2,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,60,1,2,NA,NA,NA,NA,NA,0,0,1,3,2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,39,2,2,NA,NA,NA,NA,NA,5,5,5,6,6,5.4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,28,1,2,0.333333333,2.333333333,1,2.333333333,1,3,3,3,2,2,2.6,3,3,3,3,2,2.8,3,3,3,3,1,2.6,3,3,3,3,2,2.8,3,3,3,3,2,2.8,3,3,3,4,1,2.8,NA,NA,NA,NA,NA,NA,4,3,3,3,2,3,3,3,3,3,1,2.6,4,3,4,4,2,3.4,3,3,3,3,1,2.6,6,3,1,4,5
7,35,2,5,NA,NA,NA,NA,NA,3,3,3,3,2,2.8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,2,2.8,3,3,3,6,4
8,68,2,2,2,2.333333333,3,1.666666667,2,2,2,2,2,2,2,1,1,2,1,2,1.4,2,2,2,1,2,1.8,2,2,2,1,2,1.8,2,2,2,2,2,2,2,2,3,1,2,2,2,2,2,2,3,2.2,2,2,2,1,3,2,1,2,2,1,2,1.6,2,2,2,1,2,1.8,0,1,1,1,3,1.2,0,2,0,3,6
9,60,1,2,3.333333333,4,1.333333333,0,0,5,5,5,5,0,4,NA,NA,NA,NA,NA,NA,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,0,4.8,4,4,4,4,0,3.2,4,4,4,4,0,3.2,5,3,3,3,0,2.8,4,4,4,4,1,3.4,3,3,3,3,3,3,3,2,3,4,4
10,28,1,2,2.333333333,3.666666667,3,3,0.333333333,3,4,4,4,3,3.6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3.2,3,4,4,4,4,3.8,3,3,3,3,3,3,3,4,4,4,3,3.6,3,5,5,4,3,4,4,5,5,5,4,4.6,2,3,2,3,2,2.4,2,3,3,3,1,2.4,2,3,3,2,6
